number,symbolCount,numOfAttentionLayers,method,header,dmodel,dff,ncoef,strategy,architecture,dropout,name,num_resblocks,num_channels,use_1x1conv,lr,Test Accuracy,fold
1,0,3.0,ORI,4.0,32.0,16.0,,,transformer,0.0,Adiac,,,,,0.020460358056265986,0
1,0,3.0,ORI,4.0,32.0,16.0,,,transformer,0.0,Adiac,,,,,0.5575447570332481,1
1,0,3.0,ORI,4.0,32.0,16.0,,,transformer,0.0,Adiac,,,,,0.4475703324808184,2
1,0,3.0,ORI,4.0,32.0,16.0,,,transformer,0.0,Adiac,,,,,0.5166240409207161,3
1,0,3.0,ORI,4.0,32.0,16.0,,,transformer,0.0,Adiac,,,,,0.4219948849104859,4
1,0,3.0,TSFRESH,4.0,32.0,16.0,,,transformer,0.0,Adiac,,,,,0.3273657289002558,0
1,0,3.0,TSFRESH,4.0,32.0,16.0,,,transformer,0.0,Adiac,,,,,0.3350383631713555,1
1,0,3.0,TSFRESH,4.0,32.0,16.0,,,transformer,0.0,Adiac,,,,,0.3631713554987212,2
1,0,3.0,TSFRESH,4.0,32.0,16.0,,,transformer,0.0,Adiac,,,,,0.289002557544757,3
1,0,3.0,TSFRESH,4.0,32.0,16.0,,,transformer,0.0,Adiac,,,,,0.27877237851662406,4
6,0,3.0,TSFRESH_SEL,4.0,32.0,16.0,,,transformer,0.0,BME,,,,,0.7466666666666667,0
6,0,3.0,TSFRESH_SEL,4.0,32.0,16.0,,,transformer,0.0,BME,,,,,0.72,1
6,0,3.0,TSFRESH_SEL,4.0,32.0,16.0,,,transformer,0.0,BME,,,,,0.8066666666666666,2
6,0,3.0,TSFRESH_SEL,4.0,32.0,16.0,,,transformer,0.0,BME,,,,,0.94,3
6,0,3.0,TSFRESH_SEL,4.0,32.0,16.0,,,transformer,0.0,BME,,,,,0.9133333333333333,4
6,0,3.0,CATCH24,4.0,32.0,16.0,,,transformer,0.0,BME,,,,,0.82,0
6,0,3.0,CATCH24,4.0,32.0,16.0,,,transformer,0.0,BME,,,,,0.7866666666666666,1
6,0,3.0,CATCH24,4.0,32.0,16.0,,,transformer,0.0,BME,,,,,0.82,2
6,0,3.0,CATCH24,4.0,32.0,16.0,,,transformer,0.0,BME,,,,,0.7533333333333333,3
6,0,3.0,CATCH24,4.0,32.0,16.0,,,transformer,0.0,BME,,,,,0.86,4
7,0,3.0,ORI,4.0,32.0,16.0,,,transformer,0.0,Beef,,,,,0.2,0
7,0,3.0,ORI,4.0,32.0,16.0,,,transformer,0.0,Beef,,,,,0.8333333333333334,1
7,0,3.0,ORI,4.0,32.0,16.0,,,transformer,0.0,Beef,,,,,0.7666666666666667,2
7,0,3.0,ORI,4.0,32.0,16.0,,,transformer,0.0,Beef,,,,,0.5666666666666667,3
7,0,3.0,ORI,4.0,32.0,16.0,,,transformer,0.0,Beef,,,,,0.36666666666666664,4
7,0,3.0,CATCH22,4.0,32.0,16.0,,,transformer,0.0,Beef,,,,,0.4666666666666667,0
7,0,3.0,CATCH22,4.0,32.0,16.0,,,transformer,0.0,Beef,,,,,0.4,1
7,0,3.0,CATCH22,4.0,32.0,16.0,,,transformer,0.0,Beef,,,,,0.23333333333333334,2
7,0,3.0,CATCH22,4.0,32.0,16.0,,,transformer,0.0,Beef,,,,,0.4666666666666667,3
7,0,3.0,CATCH22,4.0,32.0,16.0,,,transformer,0.0,Beef,,,,,0.4,4
7,0,3.0,TSFEAT,4.0,32.0,16.0,,,transformer,0.0,Beef,,,,,0.3333333333333333,0
7,0,3.0,TSFEAT,4.0,32.0,16.0,,,transformer,0.0,Beef,,,,,0.36666666666666664,1
7,0,3.0,TSFEAT,4.0,32.0,16.0,,,transformer,0.0,Beef,,,,,0.43333333333333335,2
7,0,3.0,TSFEAT,4.0,32.0,16.0,,,transformer,0.0,Beef,,,,,0.43333333333333335,3
7,0,3.0,TSFEAT,4.0,32.0,16.0,,,transformer,0.0,Beef,,,,,0.4,4
9,0,3.0,TSFRESH,4.0,32.0,16.0,,,transformer,0.0,BirdChicken,,,,,0.65,0
9,0,3.0,TSFRESH,4.0,32.0,16.0,,,transformer,0.0,BirdChicken,,,,,0.75,1
9,0,3.0,TSFRESH,4.0,32.0,16.0,,,transformer,0.0,BirdChicken,,,,,0.85,2
9,0,3.0,TSFRESH,4.0,32.0,16.0,,,transformer,0.0,BirdChicken,,,,,0.8,3
9,0,3.0,TSFRESH,4.0,32.0,16.0,,,transformer,0.0,BirdChicken,,,,,0.5,4
9,0,3.0,CATCH24,4.0,32.0,16.0,,,transformer,0.0,BirdChicken,,,,,0.85,0
9,0,3.0,CATCH24,4.0,32.0,16.0,,,transformer,0.0,BirdChicken,,,,,0.85,1
9,0,3.0,CATCH24,4.0,32.0,16.0,,,transformer,0.0,BirdChicken,,,,,0.8,2
9,0,3.0,CATCH24,4.0,32.0,16.0,,,transformer,0.0,BirdChicken,,,,,0.95,3
9,0,3.0,CATCH24,4.0,32.0,16.0,,,transformer,0.0,BirdChicken,,,,,0.65,4
9,0,3.0,TOOLS,4.0,32.0,16.0,,,transformer,0.0,BirdChicken,,,,,0.55,0
9,0,3.0,TOOLS,4.0,32.0,16.0,,,transformer,0.0,BirdChicken,,,,,0.75,1
9,0,3.0,TOOLS,4.0,32.0,16.0,,,transformer,0.0,BirdChicken,,,,,0.65,2
9,0,3.0,TOOLS,4.0,32.0,16.0,,,transformer,0.0,BirdChicken,,,,,0.75,3
9,0,3.0,TOOLS,4.0,32.0,16.0,,,transformer,0.0,BirdChicken,,,,,0.75,4
10,0,3.0,TSFEL,4.0,32.0,16.0,,,transformer,0.0,CBF,,,,,0.6733333333333333,0
10,0,3.0,TSFEL,4.0,32.0,16.0,,,transformer,0.0,CBF,,,,,0.6688888888888889,1
10,0,3.0,TSFEL,4.0,32.0,16.0,,,transformer,0.0,CBF,,,,,0.6122222222222222,2
