method,number,name,fold,symbolCount,numOfAttentionLayers,header,dmodel,dff,ncoef,strategy,architecture,dropout,num_resblocks,num_channels,use_1x1conv,lr,Test Accuracy
CATCH22_SYM,1,Adiac,0,5,,,,,,quantile,resnet,,3.0,16.0,True,True,0.4629156010230179
CATCH22_SYM,1,Adiac,1,5,,,,,,quantile,resnet,,3.0,16.0,True,True,0.45524296675191817
CATCH22_SYM,1,Adiac,2,5,,,,,,quantile,resnet,,3.0,16.0,True,True,0.4782608695652174
CATCH22_SYM,1,Adiac,3,5,,,,,,quantile,resnet,,3.0,16.0,True,True,0.48081841432225064
CATCH22_SYM,1,Adiac,4,5,,,,,,quantile,resnet,,3.0,16.0,True,True,0.5012787723785166
CATCH22_SYM,6,BME,0,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.8866666666666667
CATCH22_SYM,6,BME,1,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.8466666666666667
CATCH22_SYM,6,BME,2,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.8866666666666667
CATCH22_SYM,6,BME,3,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.9066666666666666
CATCH22_SYM,6,BME,4,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.8
CATCH22_SYM,7,Beef,0,5,3.0,4.0,128.0,64.0,,quantile,transformer,0.0,,,,,0.5666666666666667
CATCH22_SYM,7,Beef,1,5,3.0,4.0,128.0,64.0,,quantile,transformer,0.0,,,,,0.4666666666666667
CATCH22_SYM,7,Beef,2,5,3.0,4.0,128.0,64.0,,quantile,transformer,0.0,,,,,0.4
CATCH22_SYM,7,Beef,3,5,3.0,4.0,128.0,64.0,,quantile,transformer,0.0,,,,,0.5
CATCH22_SYM,7,Beef,4,5,3.0,4.0,128.0,64.0,,quantile,transformer,0.0,,,,,0.5333333333333333
CATCH22_SYM,9,BirdChicken,0,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.85
CATCH22_SYM,9,BirdChicken,1,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.8
CATCH22_SYM,9,BirdChicken,2,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.95
CATCH22_SYM,9,BirdChicken,3,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.85
CATCH22_SYM,9,BirdChicken,4,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.9
CATCH22_SYM,10,CBF,0,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.9011111111111111
CATCH22_SYM,10,CBF,1,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.8633333333333333
CATCH22_SYM,10,CBF,2,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.9166666666666666
CATCH22_SYM,10,CBF,3,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.71
CATCH22_SYM,10,CBF,4,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.9077777777777778
CATCH22_SYM,11,Car,0,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.6666666666666666
CATCH22_SYM,11,Car,1,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.6833333333333333
CATCH22_SYM,11,Car,2,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.6666666666666666
CATCH22_SYM,11,Car,3,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.7333333333333333
CATCH22_SYM,11,Car,4,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.7
CATCH22_SYM,12,Chinatown,0,5,,,,,,uniform,resnet,,3.0,16.0,True,True,0.9446064139941691
CATCH22_SYM,12,Chinatown,1,5,,,,,,uniform,resnet,,3.0,16.0,True,True,0.9475218658892128
CATCH22_SYM,12,Chinatown,2,5,,,,,,uniform,resnet,,3.0,16.0,True,True,0.9329446064139941
CATCH22_SYM,12,Chinatown,3,5,,,,,,uniform,resnet,,3.0,16.0,True,True,0.892128279883382
CATCH22_SYM,12,Chinatown,4,5,,,,,,uniform,resnet,,3.0,16.0,True,True,0.9387755102040817
CATCH22_SYM,13,ChlorineConcentration,0,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.5630208333333333
CATCH22_SYM,13,ChlorineConcentration,1,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.56015625
