method,number,name,fold,symbolCount,numOfAttentionLayers,header,dmodel,dff,ncoef,strategy,architecture,dropout,num_resblocks,num_channels,use_1x1conv,lr,Test Accuracy
CATCH24,1,Adiac,0,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.22762148337595908
CATCH24,1,Adiac,1,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.18925831202046037
CATCH24,1,Adiac,2,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.23273657289002558
CATCH24,1,Adiac,3,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.24552429667519182
CATCH24,1,Adiac,4,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.340153452685422
CATCH24,6,BME,0,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,0.8666666666666667
CATCH24,6,BME,1,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,0.8333333333333334
CATCH24,6,BME,2,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,0.8933333333333333
CATCH24,6,BME,3,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,0.8333333333333334
CATCH24,6,BME,4,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,0.86
CATCH24,7,Beef,0,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.3
CATCH24,7,Beef,1,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.36666666666666664
CATCH24,7,Beef,2,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.3333333333333333
CATCH24,7,Beef,3,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.43333333333333335
CATCH24,7,Beef,4,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.36666666666666664
CATCH24,9,BirdChicken,0,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.85
CATCH24,9,BirdChicken,1,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.85
CATCH24,9,BirdChicken,2,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.8
CATCH24,9,BirdChicken,3,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.95
CATCH24,9,BirdChicken,4,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.65
CATCH24,10,CBF,0,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,0.9266666666666666
CATCH24,10,CBF,1,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,0.9133333333333333
CATCH24,10,CBF,2,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,0.8577777777777778
CATCH24,10,CBF,3,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,0.3422222222222222
CATCH24,10,CBF,4,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,0.8966666666666666
CATCH24,11,Car,0,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.65
CATCH24,11,Car,1,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.6833333333333333
CATCH24,11,Car,2,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.6
CATCH24,11,Car,3,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.48333333333333334
CATCH24,11,Car,4,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.6666666666666666
CATCH24,12,Chinatown,0,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.7725947521865889
CATCH24,12,Chinatown,1,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.7725947521865889
CATCH24,12,Chinatown,2,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.7725947521865889
CATCH24,12,Chinatown,3,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.7725947521865889
CATCH24,12,Chinatown,4,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.8192419825072886
CATCH24,13,ChlorineConcentration,0,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.5559895833333334
CATCH24,13,ChlorineConcentration,1,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.5536458333333333
CATCH24,13,ChlorineConcentration,2,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.5489583333333333
CATCH24,13,ChlorineConcentration,3,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.5354166666666667
CATCH24,13,ChlorineConcentration,4,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.5325520833333334
CATCH24,15,Coffee,0,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,1.0
CATCH24,15,Coffee,1,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,1.0
CATCH24,15,Coffee,2,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,1.0
CATCH24,15,Coffee,3,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,1.0
CATCH24,15,Coffee,4,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,1.0
CATCH24,17,CricketX,0,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.4230769230769231
CATCH24,17,CricketX,1,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.43846153846153846
CATCH24,17,CricketX,2,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.3974358974358974
CATCH24,17,CricketX,3,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.43846153846153846
CATCH24,17,CricketX,4,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.4256410256410256
CATCH24,18,CricketY,0,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.44871794871794873
CATCH24,18,CricketY,1,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.4666666666666667
CATCH24,18,CricketY,2,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.47692307692307695
CATCH24,18,CricketY,3,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.4153846153846154
CATCH24,18,CricketY,4,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.3564102564102564
CATCH24,19,CricketZ,0,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.4307692307692308
CATCH24,19,CricketZ,1,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.38974358974358975
CATCH24,19,CricketZ,2,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.4230769230769231
CATCH24,19,CricketZ,3,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.4076923076923077
CATCH24,19,CricketZ,4,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.4307692307692308
CATCH24,20,Crop,0,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.6282738095238095
CATCH24,20,Crop,1,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.623452380952381
CATCH24,20,Crop,2,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.6295833333333334
CATCH24,20,Crop,3,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.6295238095238095
CATCH24,20,Crop,4,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.6342857142857142
