method,number,name,fold,symbolCount,numOfAttentionLayers,header,dmodel,dff,ncoef,strategy,architecture,dropout,num_resblocks,num_channels,use_1x1conv,lr,Test Accuracy
MCB,1,Adiac,0,5,3.0,4.0,32.0,16.0,,quantile,transformer,0.0,,,,,0.5652173913043478
MCB,1,Adiac,1,5,3.0,4.0,32.0,16.0,,quantile,transformer,0.0,,,,,0.5652173913043478
MCB,1,Adiac,2,5,3.0,4.0,32.0,16.0,,quantile,transformer,0.0,,,,,0.5115089514066496
MCB,1,Adiac,3,5,3.0,4.0,32.0,16.0,,quantile,transformer,0.0,,,,,0.5933503836317136
MCB,1,Adiac,4,5,3.0,4.0,32.0,16.0,,quantile,transformer,0.0,,,,,0.5575447570332481
MCB,6,BME,0,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.8933333333333333
MCB,6,BME,1,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.8866666666666667
MCB,6,BME,2,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.92
MCB,6,BME,3,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.94
MCB,6,BME,4,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.8866666666666667
MCB,7,Beef,0,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.7333333333333333
MCB,7,Beef,1,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.8
MCB,7,Beef,2,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.5666666666666667
MCB,7,Beef,3,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.7333333333333333
MCB,7,Beef,4,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.6333333333333333
MCB,9,BirdChicken,0,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.5
MCB,9,BirdChicken,1,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.55
MCB,9,BirdChicken,2,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.6
MCB,9,BirdChicken,3,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.7
MCB,9,BirdChicken,4,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.75
MCB,10,CBF,0,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.9233333333333333
MCB,10,CBF,1,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.9422222222222222
MCB,10,CBF,2,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.9177777777777778
MCB,10,CBF,3,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.88
MCB,10,CBF,4,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.9266666666666666
MCB,11,Car,0,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.7666666666666667
MCB,11,Car,1,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.8333333333333334
MCB,11,Car,2,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.7333333333333333
MCB,11,Car,3,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.7
MCB,11,Car,4,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.8333333333333334
MCB,12,Chinatown,0,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.9854227405247813
MCB,12,Chinatown,1,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.9854227405247813
MCB,12,Chinatown,2,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.9825072886297376
MCB,12,Chinatown,3,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.9766763848396501
MCB,12,Chinatown,4,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.9825072886297376
MCB,13,ChlorineConcentration,0,5,,,,,,quantile,resnet,,3.0,16.0,True,True,0.64140625
MCB,13,ChlorineConcentration,1,5,,,,,,quantile,resnet,,3.0,16.0,True,True,0.625
MCB,13,ChlorineConcentration,2,5,,,,,,quantile,resnet,,3.0,16.0,True,True,0.621875
MCB,13,ChlorineConcentration,3,5,,,,,,quantile,resnet,,3.0,16.0,True,True,0.5325520833333334
MCB,13,ChlorineConcentration,4,5,,,,,,quantile,resnet,,3.0,16.0,True,True,0.6385416666666667
MCB,15,Coffee,0,5,,,,,,quantile,resnet,,3.0,16.0,True,True,1.0
MCB,15,Coffee,1,5,,,,,,quantile,resnet,,3.0,16.0,True,True,1.0
MCB,15,Coffee,2,5,,,,,,quantile,resnet,,3.0,16.0,True,True,1.0
MCB,15,Coffee,3,5,,,,,,quantile,resnet,,3.0,16.0,True,True,1.0
MCB,15,Coffee,4,5,,,,,,quantile,resnet,,3.0,16.0,True,True,1.0
MCB,17,CricketX,0,6,3.0,4.0,32.0,16.0,,quantile,transformer,0.0,,,,,0.44871794871794873
MCB,17,CricketX,1,6,3.0,4.0,32.0,16.0,,quantile,transformer,0.0,,,,,0.4128205128205128
MCB,17,CricketX,2,6,3.0,4.0,32.0,16.0,,quantile,transformer,0.0,,,,,0.40512820512820513
