method,number,name,fold,symbolCount,numOfAttentionLayers,header,dmodel,dff,ncoef,strategy,architecture,dropout,num_resblocks,num_channels,use_1x1conv,lr,Test Accuracy
ORI,1,Adiac,0,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.41687979539641945
ORI,1,Adiac,1,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.4398976982097187
ORI,1,Adiac,2,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.3554987212276215
ORI,1,Adiac,3,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.48081841432225064
ORI,1,Adiac,4,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.4117647058823529
ORI,6,BME,0,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.8666666666666667
ORI,6,BME,1,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.8066666666666666
ORI,6,BME,2,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.9
ORI,6,BME,3,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.9266666666666666
ORI,6,BME,4,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.9066666666666666
ORI,7,Beef,0,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.8666666666666667
ORI,7,Beef,1,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.8666666666666667
ORI,7,Beef,2,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.6666666666666666
ORI,7,Beef,3,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.6333333333333333
ORI,7,Beef,4,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.3333333333333333
ORI,9,BirdChicken,0,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.45
ORI,9,BirdChicken,1,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.5
ORI,9,BirdChicken,2,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.5
ORI,9,BirdChicken,3,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.6
ORI,9,BirdChicken,4,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.7
ORI,10,CBF,0,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.8588888888888889
ORI,10,CBF,1,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.9677777777777777
ORI,10,CBF,2,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.8566666666666667
