method,number,name,fold,symbolCount,numOfAttentionLayers,header,dmodel,dff,ncoef,strategy,architecture,dropout,num_resblocks,num_channels,use_1x1conv,lr,Test Accuracy
SAX,1,Adiac,0,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.4475703324808184
SAX,1,Adiac,1,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.5063938618925832
SAX,1,Adiac,2,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.4296675191815857
SAX,1,Adiac,3,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.49872122762148335
SAX,1,Adiac,4,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.4296675191815857
SAX,6,BME,0,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.8466666666666667
SAX,6,BME,1,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.8666666666666667
SAX,6,BME,2,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.8466666666666667
SAX,6,BME,3,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.8666666666666667
SAX,6,BME,4,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.8866666666666667
SAX,7,Beef,0,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.7333333333333333
SAX,7,Beef,1,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.7666666666666667
SAX,7,Beef,2,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.6
SAX,7,Beef,3,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.6666666666666666
SAX,7,Beef,4,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.7
SAX,9,BirdChicken,0,5,3.0,4.0,128.0,64.0,,uniform,transformer,0.0,,,,,0.75
SAX,9,BirdChicken,1,5,3.0,4.0,128.0,64.0,,uniform,transformer,0.0,,,,,0.75
SAX,9,BirdChicken,2,5,3.0,4.0,128.0,64.0,,uniform,transformer,0.0,,,,,0.85
SAX,9,BirdChicken,3,5,3.0,4.0,128.0,64.0,,uniform,transformer,0.0,,,,,0.75
SAX,9,BirdChicken,4,5,3.0,4.0,128.0,64.0,,uniform,transformer,0.0,,,,,0.75
SAX,10,CBF,0,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.9455555555555556
SAX,10,CBF,1,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.9788888888888889
SAX,10,CBF,2,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.9211111111111111
SAX,10,CBF,3,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.9388888888888889
SAX,10,CBF,4,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.9811111111111112
SAX,11,Car,0,5,,,,,,quantile,resnet,,3.0,16.0,True,True,0.7166666666666667
SAX,11,Car,1,5,,,,,,quantile,resnet,,3.0,16.0,True,True,0.7333333333333333
SAX,11,Car,2,5,,,,,,quantile,resnet,,3.0,16.0,True,True,0.65
SAX,11,Car,3,5,,,,,,quantile,resnet,,3.0,16.0,True,True,0.75
SAX,11,Car,4,5,,,,,,quantile,resnet,,3.0,16.0,True,True,0.75
SAX,12,Chinatown,0,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.9708454810495627
SAX,12,Chinatown,1,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.9737609329446064
SAX,12,Chinatown,2,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.9650145772594753
SAX,12,Chinatown,3,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.9650145772594753
SAX,12,Chinatown,4,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.956268221574344
SAX,13,ChlorineConcentration,0,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.5828125
SAX,13,ChlorineConcentration,1,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.5809895833333333
SAX,13,ChlorineConcentration,2,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.6143229166666667
SAX,13,ChlorineConcentration,3,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.5325520833333334
SAX,13,ChlorineConcentration,4,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.60390625
SAX,15,Coffee,0,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.9642857142857143
SAX,15,Coffee,1,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.9642857142857143
SAX,15,Coffee,2,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.9642857142857143
SAX,15,Coffee,3,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.9285714285714286
SAX,15,Coffee,4,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.9285714285714286
SAX,17,CricketX,0,5,3.0,4.0,32.0,16.0,,uniform,transformer,0.0,,,,,0.38974358974358975
SAX,17,CricketX,1,5,3.0,4.0,32.0,16.0,,uniform,transformer,0.0,,,,,0.4358974358974359
SAX,17,CricketX,2,5,3.0,4.0,32.0,16.0,,uniform,transformer,0.0,,,,,0.39487179487179486
SAX,17,CricketX,3,5,3.0,4.0,32.0,16.0,,uniform,transformer,0.0,,,,,0.4230769230769231
SAX,17,CricketX,4,5,3.0,4.0,32.0,16.0,,uniform,transformer,0.0,,,,,0.41025641025641024
SAX,18,CricketY,0,6,3.0,4.0,32.0,16.0,,uniform,transformer,0.0,,,,,0.4846153846153846
SAX,18,CricketY,1,6,3.0,4.0,32.0,16.0,,uniform,transformer,0.0,,,,,0.4564102564102564
SAX,18,CricketY,2,6,3.0,4.0,32.0,16.0,,uniform,transformer,0.0,,,,,0.45384615384615384
SAX,18,CricketY,3,6,3.0,4.0,32.0,16.0,,uniform,transformer,0.0,,,,,0.4307692307692308
SAX,18,CricketY,4,6,3.0,4.0,32.0,16.0,,uniform,transformer,0.0,,,,,0.4282051282051282
SAX,19,CricketZ,0,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.4256410256410256
SAX,19,CricketZ,1,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.4153846153846154
SAX,19,CricketZ,2,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.40512820512820513
SAX,19,CricketZ,3,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.441025641025641
SAX,19,CricketZ,4,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.48205128205128206
SAX,20,Crop,0,6,3.0,4.0,32.0,16.0,,uniform,transformer,0.0,,,,,0.655
SAX,20,Crop,1,6,3.0,4.0,32.0,16.0,,uniform,transformer,0.0,,,,,0.6588095238095238
SAX,20,Crop,2,6,3.0,4.0,32.0,16.0,,uniform,transformer,0.0,,,,,0.6518452380952381
SAX,20,Crop,3,6,3.0,4.0,32.0,16.0,,uniform,transformer,0.0,,,,,0.6452380952380953
SAX,20,Crop,4,6,3.0,4.0,32.0,16.0,,uniform,transformer,0.0,,,,,0.6542261904761905
SAX,22,DistalPhalanxOutlineAgeGroup,0,5,3.0,4.0,128.0,64.0,,quantile,transformer,0.0,,,,,0.7410071942446043
SAX,22,DistalPhalanxOutlineAgeGroup,1,5,3.0,4.0,128.0,64.0,,quantile,transformer,0.0,,,,,0.7050359712230215
SAX,22,DistalPhalanxOutlineAgeGroup,2,5,3.0,4.0,128.0,64.0,,quantile,transformer,0.0,,,,,0.7410071942446043
SAX,22,DistalPhalanxOutlineAgeGroup,3,5,3.0,4.0,128.0,64.0,,quantile,transformer,0.0,,,,,0.7410071942446043
SAX,22,DistalPhalanxOutlineAgeGroup,4,5,3.0,4.0,128.0,64.0,,quantile,transformer,0.0,,,,,0.6906474820143885
SAX,23,DistalPhalanxOutlineCorrect,0,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.7644927536231884
SAX,23,DistalPhalanxOutlineCorrect,1,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.7608695652173914
SAX,23,DistalPhalanxOutlineCorrect,2,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.7391304347826086
SAX,23,DistalPhalanxOutlineCorrect,3,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.7536231884057971
SAX,23,DistalPhalanxOutlineCorrect,4,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.7391304347826086
SAX,24,DistalPhalanxTW,0,5,3.0,4.0,32.0,16.0,,quantile,transformer,0.0,,,,,0.6834532374100719
SAX,24,DistalPhalanxTW,1,5,3.0,4.0,32.0,16.0,,quantile,transformer,0.0,,,,,0.6906474820143885
SAX,24,DistalPhalanxTW,2,5,3.0,4.0,32.0,16.0,,quantile,transformer,0.0,,,,,0.6906474820143885
SAX,24,DistalPhalanxTW,3,5,3.0,4.0,32.0,16.0,,quantile,transformer,0.0,,,,,0.6690647482014388
SAX,24,DistalPhalanxTW,4,5,3.0,4.0,32.0,16.0,,quantile,transformer,0.0,,,,,0.6330935251798561
SAX,28,ECG200,0,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.83
SAX,28,ECG200,1,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.8
SAX,28,ECG200,2,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.85
SAX,28,ECG200,3,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.83
SAX,28,ECG200,4,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.86
SAX,29,ECG5000,0,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.9355555555555556
SAX,29,ECG5000,1,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.9337777777777778
SAX,29,ECG5000,2,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.934
SAX,29,ECG5000,3,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.9295555555555556
SAX,29,ECG5000,4,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.9342222222222222
SAX,36,FaceAll,0,6,3.0,4.0,128.0,64.0,,uniform,transformer,0.0,,,,,0.6881656804733728
SAX,36,FaceAll,1,6,3.0,4.0,128.0,64.0,,uniform,transformer,0.0,,,,,0.7094674556213018
SAX,36,FaceAll,2,6,3.0,4.0,128.0,64.0,,uniform,transformer,0.0,,,,,0.7514792899408284
SAX,36,FaceAll,3,6,3.0,4.0,128.0,64.0,,uniform,transformer,0.0,,,,,0.6609467455621302
SAX,36,FaceAll,4,6,3.0,4.0,128.0,64.0,,uniform,transformer,0.0,,,,,0.6792899408284023
SAX,38,FacesUCR,0,6,3.0,4.0,32.0,16.0,,uniform,transformer,0.0,,,,,0.7112195121951219
SAX,38,FacesUCR,1,6,3.0,4.0,32.0,16.0,,uniform,transformer,0.0,,,,,0.7507317073170732
SAX,38,FacesUCR,2,6,3.0,4.0,32.0,16.0,,uniform,transformer,0.0,,,,,0.7204878048780488
SAX,38,FacesUCR,3,6,3.0,4.0,32.0,16.0,,uniform,transformer,0.0,,,,,0.7141463414634146
SAX,38,FacesUCR,4,6,3.0,4.0,32.0,16.0,,uniform,transformer,0.0,,,,,0.7414634146341463
