method,number,name,fold,symbolCount,numOfAttentionLayers,header,dmodel,dff,ncoef,strategy,architecture,dropout,num_resblocks,num_channels,use_1x1conv,lr,Test Accuracy
SFA,1,Adiac,0,5,,,,,128.0,uniform,resnet,,3.0,64.0,True,True,0.4219948849104859
SFA,1,Adiac,1,5,,,,,128.0,uniform,resnet,,3.0,64.0,True,True,0.3989769820971867
SFA,1,Adiac,2,5,,,,,128.0,uniform,resnet,,3.0,64.0,True,True,0.4322250639386189
SFA,1,Adiac,3,5,,,,,128.0,uniform,resnet,,3.0,64.0,True,True,0.43478260869565216
SFA,1,Adiac,4,5,,,,,128.0,uniform,resnet,,3.0,64.0,True,True,0.3989769820971867
SFA,6,BME,0,5,,,,,128.0,quantile,resnet,,3.0,64.0,True,True,0.6333333333333333
SFA,6,BME,1,5,,,,,128.0,quantile,resnet,,3.0,64.0,True,True,0.8133333333333334
SFA,6,BME,2,5,,,,,128.0,quantile,resnet,,3.0,64.0,True,True,0.7
SFA,6,BME,3,5,,,,,128.0,quantile,resnet,,3.0,64.0,True,True,0.8066666666666666
SFA,6,BME,4,5,,,,,128.0,quantile,resnet,,3.0,64.0,True,True,0.7466666666666667
SFA,7,Beef,0,5,,,,,256.0,uniform,resnet,,3.0,64.0,True,True,0.8666666666666667
SFA,7,Beef,1,5,,,,,256.0,uniform,resnet,,3.0,64.0,True,True,0.7
SFA,7,Beef,2,5,,,,,256.0,uniform,resnet,,3.0,64.0,True,True,0.8333333333333334
SFA,7,Beef,3,5,,,,,256.0,uniform,resnet,,3.0,64.0,True,True,0.8333333333333334
SFA,7,Beef,4,5,,,,,256.0,uniform,resnet,,3.0,64.0,True,True,0.7666666666666667
SFA,9,BirdChicken,0,6,3.0,4.0,128.0,64.0,256.0,uniform,transformer,0.0,,,,,0.75
SFA,9,BirdChicken,1,6,3.0,4.0,128.0,64.0,256.0,uniform,transformer,0.0,,,,,0.85
SFA,9,BirdChicken,2,6,3.0,4.0,128.0,64.0,256.0,uniform,transformer,0.0,,,,,0.9
SFA,9,BirdChicken,3,6,3.0,4.0,128.0,64.0,256.0,uniform,transformer,0.0,,,,,0.95
SFA,9,BirdChicken,4,6,3.0,4.0,128.0,64.0,256.0,uniform,transformer,0.0,,,,,0.95
SFA,10,CBF,0,5,,,,,128.0,uniform,resnet,,3.0,16.0,True,True,0.49444444444444446
SFA,10,CBF,1,5,,,,,128.0,uniform,resnet,,3.0,16.0,True,True,0.5388888888888889
SFA,10,CBF,2,5,,,,,128.0,uniform,resnet,,3.0,16.0,True,True,0.5033333333333333
SFA,10,CBF,3,5,,,,,128.0,uniform,resnet,,3.0,16.0,True,True,0.4688888888888889
SFA,10,CBF,4,5,,,,,128.0,uniform,resnet,,3.0,16.0,True,True,0.3933333333333333
SFA,11,Car,0,6,,,,,128.0,quantile,resnet,,3.0,16.0,True,True,0.4666666666666667
SFA,11,Car,1,6,,,,,128.0,quantile,resnet,,3.0,16.0,True,True,0.5166666666666667
SFA,11,Car,2,6,,,,,128.0,quantile,resnet,,3.0,16.0,True,True,0.5
SFA,11,Car,3,6,,,,,128.0,quantile,resnet,,3.0,16.0,True,True,0.5833333333333334
SFA,11,Car,4,6,,,,,128.0,quantile,resnet,,3.0,16.0,True,True,0.5333333333333333
