method,number,name,fold,symbolCount,numOfAttentionLayers,header,dmodel,dff,ncoef,strategy,architecture,dropout,num_resblocks,num_channels,use_1x1conv,lr,Test Accuracy
TOOLS,1,Adiac,0,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.3375959079283887
TOOLS,1,Adiac,1,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.017902813299232736
TOOLS,1,Adiac,2,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.3657289002557545
TOOLS,1,Adiac,3,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.023017902813299233
TOOLS,1,Adiac,4,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.030690537084398978
TOOLS,6,BME,0,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.5466666666666666
TOOLS,6,BME,1,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.5066666666666667
TOOLS,6,BME,2,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.5066666666666667
TOOLS,6,BME,3,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.4666666666666667
TOOLS,6,BME,4,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.47333333333333333
TOOLS,7,Beef,0,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.43333333333333335
TOOLS,7,Beef,1,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.5
TOOLS,7,Beef,2,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.36666666666666664
TOOLS,7,Beef,3,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.3333333333333333
TOOLS,7,Beef,4,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.2
TOOLS,9,BirdChicken,0,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.85
TOOLS,9,BirdChicken,1,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.85
TOOLS,9,BirdChicken,2,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.85
TOOLS,9,BirdChicken,3,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.85
TOOLS,9,BirdChicken,4,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.75
TOOLS,10,CBF,0,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.5822222222222222
TOOLS,10,CBF,1,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.5711111111111111
TOOLS,10,CBF,2,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.5877777777777777
TOOLS,10,CBF,3,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.5733333333333334
TOOLS,10,CBF,4,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.5755555555555556
TOOLS,11,Car,0,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.5
TOOLS,11,Car,1,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.55
TOOLS,11,Car,2,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.38333333333333336
TOOLS,11,Car,3,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.21666666666666667
TOOLS,11,Car,4,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.45
TOOLS,12,Chinatown,0,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.7725947521865889
TOOLS,12,Chinatown,1,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.6793002915451894
TOOLS,12,Chinatown,2,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.7201166180758017
TOOLS,12,Chinatown,3,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.673469387755102
TOOLS,12,Chinatown,4,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.7376093294460642
TOOLS,13,ChlorineConcentration,0,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.5453125
TOOLS,13,ChlorineConcentration,1,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.5643229166666667
TOOLS,13,ChlorineConcentration,2,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.5661458333333333
TOOLS,13,ChlorineConcentration,3,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.53671875
TOOLS,13,ChlorineConcentration,4,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.5325520833333334
TOOLS,15,Coffee,0,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.6785714285714286
TOOLS,15,Coffee,1,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.7142857142857143
TOOLS,15,Coffee,2,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.5357142857142857
TOOLS,15,Coffee,3,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.7857142857142857
TOOLS,15,Coffee,4,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.6785714285714286
TOOLS,17,CricketX,0,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.2512820512820513
TOOLS,17,CricketX,1,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.2794871794871795
TOOLS,17,CricketX,2,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.3153846153846154
TOOLS,17,CricketX,3,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.2846153846153846
TOOLS,17,CricketX,4,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.28974358974358977
TOOLS,18,CricketY,0,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.24615384615384617
TOOLS,18,CricketY,1,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.2358974358974359
