method,number,name,fold,symbolCount,numOfAttentionLayers,header,dmodel,dff,ncoef,strategy,architecture,dropout,num_resblocks,num_channels,use_1x1conv,lr,Test Accuracy
TOOLS_SYM,1,Adiac,0,5,3.0,4.0,128.0,64.0,,quantile,transformer,0.0,,,,,0.2071611253196931
TOOLS_SYM,1,Adiac,1,5,3.0,4.0,128.0,64.0,,quantile,transformer,0.0,,,,,0.23273657289002558
TOOLS_SYM,1,Adiac,2,5,3.0,4.0,128.0,64.0,,quantile,transformer,0.0,,,,,0.23017902813299232
TOOLS_SYM,1,Adiac,3,5,3.0,4.0,128.0,64.0,,quantile,transformer,0.0,,,,,0.05370843989769821
TOOLS_SYM,1,Adiac,4,5,3.0,4.0,128.0,64.0,,quantile,transformer,0.0,,,,,0.21483375959079284
TOOLS_SYM,6,BME,0,5,,,,,,uniform,resnet,,3.0,16.0,True,True,0.6333333333333333
TOOLS_SYM,6,BME,1,5,,,,,,uniform,resnet,,3.0,16.0,True,True,0.6066666666666667
TOOLS_SYM,6,BME,2,5,,,,,,uniform,resnet,,3.0,16.0,True,True,0.6466666666666666
TOOLS_SYM,6,BME,3,5,,,,,,uniform,resnet,,3.0,16.0,True,True,0.5533333333333333
TOOLS_SYM,6,BME,4,5,,,,,,uniform,resnet,,3.0,16.0,True,True,0.47333333333333333
TOOLS_SYM,7,Beef,0,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.23333333333333334
TOOLS_SYM,7,Beef,1,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.3
TOOLS_SYM,7,Beef,2,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.3333333333333333
TOOLS_SYM,7,Beef,3,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.16666666666666666
TOOLS_SYM,7,Beef,4,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.36666666666666664
TOOLS_SYM,9,BirdChicken,0,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.85
TOOLS_SYM,9,BirdChicken,1,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.85
TOOLS_SYM,9,BirdChicken,2,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.85
TOOLS_SYM,9,BirdChicken,3,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.85
TOOLS_SYM,9,BirdChicken,4,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.85
TOOLS_SYM,10,CBF,0,5,,,,,,uniform,resnet,,3.0,16.0,True,True,0.62
TOOLS_SYM,10,CBF,1,5,,,,,,uniform,resnet,,3.0,16.0,True,True,0.6055555555555555
TOOLS_SYM,10,CBF,2,5,,,,,,uniform,resnet,,3.0,16.0,True,True,0.6244444444444445
TOOLS_SYM,10,CBF,3,5,,,,,,uniform,resnet,,3.0,16.0,True,True,0.62
TOOLS_SYM,10,CBF,4,5,,,,,,uniform,resnet,,3.0,16.0,True,True,0.5911111111111111
TOOLS_SYM,11,Car,0,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.4666666666666667
TOOLS_SYM,11,Car,1,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.48333333333333334
TOOLS_SYM,11,Car,2,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.4166666666666667
TOOLS_SYM,11,Car,3,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.4666666666666667
TOOLS_SYM,11,Car,4,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.43333333333333335
TOOLS_SYM,12,Chinatown,0,6,3.0,4.0,32.0,16.0,,uniform,transformer,0.0,,,,,0.7376093294460642
TOOLS_SYM,12,Chinatown,1,6,3.0,4.0,32.0,16.0,,uniform,transformer,0.0,,,,,0.8221574344023324
TOOLS_SYM,12,Chinatown,2,6,3.0,4.0,32.0,16.0,,uniform,transformer,0.0,,,,,0.7259475218658892
TOOLS_SYM,12,Chinatown,3,6,3.0,4.0,32.0,16.0,,uniform,transformer,0.0,,,,,0.7346938775510204
TOOLS_SYM,12,Chinatown,4,6,3.0,4.0,32.0,16.0,,uniform,transformer,0.0,,,,,0.7317784256559767
TOOLS_SYM,13,ChlorineConcentration,0,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.5453125
TOOLS_SYM,13,ChlorineConcentration,1,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.5375
TOOLS_SYM,13,ChlorineConcentration,2,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.5427083333333333
TOOLS_SYM,13,ChlorineConcentration,3,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.5325520833333334
TOOLS_SYM,13,ChlorineConcentration,4,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.5325520833333334
TOOLS_SYM,15,Coffee,0,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.4642857142857143
TOOLS_SYM,15,Coffee,1,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.6071428571428571
TOOLS_SYM,15,Coffee,2,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.39285714285714285
TOOLS_SYM,15,Coffee,3,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.7142857142857143
TOOLS_SYM,15,Coffee,4,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.75
TOOLS_SYM,17,CricketX,0,5,3.0,4.0,32.0,16.0,,uniform,transformer,0.0,,,,,0.2358974358974359
TOOLS_SYM,17,CricketX,1,5,3.0,4.0,32.0,16.0,,uniform,transformer,0.0,,,,,0.258974358974359
TOOLS_SYM,17,CricketX,2,5,3.0,4.0,32.0,16.0,,uniform,transformer,0.0,,,,,0.24871794871794872
TOOLS_SYM,17,CricketX,3,5,3.0,4.0,32.0,16.0,,uniform,transformer,0.0,,,,,0.1717948717948718
TOOLS_SYM,17,CricketX,4,5,3.0,4.0,32.0,16.0,,uniform,transformer,0.0,,,,,0.2205128205128205
TOOLS_SYM,18,CricketY,0,6,3.0,4.0,32.0,16.0,,uniform,transformer,0.0,,,,,0.21025641025641026
TOOLS_SYM,18,CricketY,1,6,3.0,4.0,32.0,16.0,,uniform,transformer,0.0,,,,,0.17692307692307693
TOOLS_SYM,18,CricketY,2,6,3.0,4.0,32.0,16.0,,uniform,transformer,0.0,,,,,0.18461538461538463
TOOLS_SYM,18,CricketY,3,6,3.0,4.0,32.0,16.0,,uniform,transformer,0.0,,,,,0.18461538461538463
TOOLS_SYM,18,CricketY,4,6,3.0,4.0,32.0,16.0,,uniform,transformer,0.0,,,,,0.17692307692307693
TOOLS_SYM,19,CricketZ,0,6,3.0,4.0,32.0,16.0,,uniform,transformer,0.0,,,,,0.24871794871794872
TOOLS_SYM,19,CricketZ,1,6,3.0,4.0,32.0,16.0,,uniform,transformer,0.0,,,,,0.2153846153846154
TOOLS_SYM,19,CricketZ,2,6,3.0,4.0,32.0,16.0,,uniform,transformer,0.0,,,,,0.24615384615384617
TOOLS_SYM,19,CricketZ,3,6,3.0,4.0,32.0,16.0,,uniform,transformer,0.0,,,,,0.22564102564102564
TOOLS_SYM,19,CricketZ,4,6,3.0,4.0,32.0,16.0,,uniform,transformer,0.0,,,,,0.18461538461538463
TOOLS_SYM,20,Crop,0,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.4525595238095238
TOOLS_SYM,20,Crop,1,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.4544047619047619
TOOLS_SYM,20,Crop,2,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.45404761904761903
TOOLS_SYM,20,Crop,3,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.45517857142857143
TOOLS_SYM,20,Crop,4,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.45571428571428574
TOOLS_SYM,22,DistalPhalanxOutlineAgeGroup,0,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.6618705035971223
TOOLS_SYM,22,DistalPhalanxOutlineAgeGroup,1,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.6402877697841727
TOOLS_SYM,22,DistalPhalanxOutlineAgeGroup,2,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.6906474820143885
TOOLS_SYM,22,DistalPhalanxOutlineAgeGroup,3,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.6906474820143885
TOOLS_SYM,22,DistalPhalanxOutlineAgeGroup,4,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.6906474820143885
TOOLS_SYM,23,DistalPhalanxOutlineCorrect,0,5,,,,,,uniform,resnet,,3.0,16.0,True,True,0.717391304347826
TOOLS_SYM,23,DistalPhalanxOutlineCorrect,1,5,,,,,,uniform,resnet,,3.0,16.0,True,True,0.7028985507246377
TOOLS_SYM,23,DistalPhalanxOutlineCorrect,2,5,,,,,,uniform,resnet,,3.0,16.0,True,True,0.7210144927536232
TOOLS_SYM,23,DistalPhalanxOutlineCorrect,3,5,,,,,,uniform,resnet,,3.0,16.0,True,True,0.7355072463768116
TOOLS_SYM,23,DistalPhalanxOutlineCorrect,4,5,,,,,,uniform,resnet,,3.0,16.0,True,True,0.6630434782608695
TOOLS_SYM,24,DistalPhalanxTW,0,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.60431654676259
TOOLS_SYM,24,DistalPhalanxTW,1,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.6115107913669064
TOOLS_SYM,24,DistalPhalanxTW,2,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.5899280575539568
TOOLS_SYM,24,DistalPhalanxTW,3,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.5611510791366906
TOOLS_SYM,24,DistalPhalanxTW,4,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.5971223021582733
TOOLS_SYM,28,ECG200,0,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.74
TOOLS_SYM,28,ECG200,1,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.75
TOOLS_SYM,28,ECG200,2,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.73
TOOLS_SYM,28,ECG200,3,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.72
TOOLS_SYM,28,ECG200,4,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.76
TOOLS_SYM,29,ECG5000,0,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.8891111111111111
TOOLS_SYM,29,ECG5000,1,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.8877777777777778
TOOLS_SYM,29,ECG5000,2,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.888
TOOLS_SYM,29,ECG5000,3,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.8855555555555555
TOOLS_SYM,29,ECG5000,4,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.8666666666666667
TOOLS_SYM,36,FaceAll,0,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.28816568047337277
TOOLS_SYM,36,FaceAll,1,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.2710059171597633
TOOLS_SYM,36,FaceAll,2,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.25088757396449707
TOOLS_SYM,36,FaceAll,3,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.2804733727810651
TOOLS_SYM,36,FaceAll,4,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.2875739644970414
TOOLS_SYM,38,FacesUCR,0,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.275609756097561
TOOLS_SYM,38,FacesUCR,1,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.34146341463414637
TOOLS_SYM,38,FacesUCR,2,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.3229268292682927
TOOLS_SYM,38,FacesUCR,3,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.315609756097561
TOOLS_SYM,38,FacesUCR,4,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.3078048780487805
TOOLS_SYM,39,FiftyWords,0,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.22637362637362637
TOOLS_SYM,39,FiftyWords,1,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.22417582417582418
TOOLS_SYM,39,FiftyWords,2,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.22417582417582418
TOOLS_SYM,39,FiftyWords,3,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.1912087912087912
TOOLS_SYM,39,FiftyWords,4,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.2175824175824176
TOOLS_SYM,40,Fish,0,5,,,,,,uniform,resnet,,3.0,16.0,True,True,0.3485714285714286
TOOLS_SYM,40,Fish,1,5,,,,,,uniform,resnet,,3.0,16.0,True,True,0.3657142857142857
TOOLS_SYM,40,Fish,2,5,,,,,,uniform,resnet,,3.0,16.0,True,True,0.37142857142857144
TOOLS_SYM,40,Fish,3,5,,,,,,uniform,resnet,,3.0,16.0,True,True,0.3942857142857143
TOOLS_SYM,40,Fish,4,5,,,,,,uniform,resnet,,3.0,16.0,True,True,0.38857142857142857
TOOLS_SYM,41,FordA,0,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.5568181818181818
TOOLS_SYM,41,FordA,1,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.5598484848484848
TOOLS_SYM,41,FordA,2,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.546969696969697
TOOLS_SYM,41,FordA,3,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.5674242424242424
TOOLS_SYM,41,FordA,4,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.5659090909090909
TOOLS_SYM,42,FordB,0,6,3.0,4.0,32.0,16.0,,quantile,transformer,0.0,,,,,0.5432098765432098
TOOLS_SYM,42,FordB,1,6,3.0,4.0,32.0,16.0,,quantile,transformer,0.0,,,,,0.5259259259259259
TOOLS_SYM,42,FordB,2,6,3.0,4.0,32.0,16.0,,quantile,transformer,0.0,,,,,0.5456790123456791
TOOLS_SYM,42,FordB,3,6,3.0,4.0,32.0,16.0,,quantile,transformer,0.0,,,,,0.5345679012345679
TOOLS_SYM,42,FordB,4,6,3.0,4.0,32.0,16.0,,quantile,transformer,0.0,,,,,0.5419753086419753
TOOLS_SYM,43,FreezerRegularTrain,0,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.8866666666666667
TOOLS_SYM,43,FreezerRegularTrain,1,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.8996491228070176
TOOLS_SYM,43,FreezerRegularTrain,2,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.8908771929824562
TOOLS_SYM,43,FreezerRegularTrain,3,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.9
TOOLS_SYM,43,FreezerRegularTrain,4,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.8554385964912281
TOOLS_SYM,51,GunPoint,0,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.6533333333333333
TOOLS_SYM,51,GunPoint,1,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.5466666666666666
TOOLS_SYM,51,GunPoint,2,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.6466666666666666
TOOLS_SYM,51,GunPoint,3,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.6466666666666666
TOOLS_SYM,51,GunPoint,4,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.68
TOOLS_SYM,52,GunPointAgeSpan,0,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.8955696202531646
TOOLS_SYM,52,GunPointAgeSpan,1,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.9462025316455697
TOOLS_SYM,52,GunPointAgeSpan,2,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.9208860759493671
TOOLS_SYM,52,GunPointAgeSpan,3,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.9588607594936709
TOOLS_SYM,52,GunPointAgeSpan,4,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.9430379746835443
TOOLS_SYM,53,GunPointMaleVersusFemale,0,5,,,,,,quantile,resnet,,3.0,64.0,True,True,1.0
TOOLS_SYM,53,GunPointMaleVersusFemale,1,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.9936708860759493
TOOLS_SYM,53,GunPointMaleVersusFemale,2,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.9936708860759493
TOOLS_SYM,53,GunPointMaleVersusFemale,3,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.9936708860759493
TOOLS_SYM,53,GunPointMaleVersusFemale,4,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.9936708860759493
TOOLS_SYM,54,GunPointOldVersusYoung,0,5,3.0,4.0,32.0,16.0,,quantile,transformer,0.0,,,,,1.0
TOOLS_SYM,54,GunPointOldVersusYoung,1,5,3.0,4.0,32.0,16.0,,quantile,transformer,0.0,,,,,1.0
TOOLS_SYM,54,GunPointOldVersusYoung,2,5,3.0,4.0,32.0,16.0,,quantile,transformer,0.0,,,,,1.0
TOOLS_SYM,54,GunPointOldVersusYoung,3,5,3.0,4.0,32.0,16.0,,quantile,transformer,0.0,,,,,1.0
TOOLS_SYM,54,GunPointOldVersusYoung,4,5,3.0,4.0,32.0,16.0,,quantile,transformer,0.0,,,,,1.0
TOOLS_SYM,61,InsectEPGRegularTrain,0,5,,,,,,uniform,resnet,,3.0,64.0,True,True,1.0
TOOLS_SYM,61,InsectEPGRegularTrain,1,5,,,,,,uniform,resnet,,3.0,64.0,True,True,1.0
