method,number,name,fold,symbolCount,numOfAttentionLayers,header,dmodel,dff,ncoef,strategy,architecture,dropout,num_resblocks,num_channels,use_1x1conv,lr,Test Accuracy
TSFEAT,1,Adiac,0,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.3836317135549872
TSFEAT,1,Adiac,1,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.4040920716112532
TSFEAT,1,Adiac,2,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.4040920716112532
TSFEAT,1,Adiac,3,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.44501278772378516
TSFEAT,1,Adiac,4,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.39641943734015345
TSFEAT,6,BME,0,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.9333333333333333
TSFEAT,6,BME,1,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.6866666666666666
TSFEAT,6,BME,2,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.94
TSFEAT,6,BME,3,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.94
TSFEAT,6,BME,4,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.8933333333333333
TSFEAT,7,Beef,0,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.5
TSFEAT,7,Beef,1,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.4
TSFEAT,7,Beef,2,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.4666666666666667
TSFEAT,7,Beef,3,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.5333333333333333
TSFEAT,7,Beef,4,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.2
TSFEAT,9,BirdChicken,0,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,0.85
TSFEAT,9,BirdChicken,1,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,0.7
TSFEAT,9,BirdChicken,2,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,0.8
TSFEAT,9,BirdChicken,3,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,0.8
TSFEAT,9,BirdChicken,4,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,0.9
TSFEAT,10,CBF,0,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.91
TSFEAT,10,CBF,1,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.8933333333333333
TSFEAT,10,CBF,2,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.8933333333333333
TSFEAT,10,CBF,3,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.8955555555555555
TSFEAT,10,CBF,4,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.8877777777777778
TSFEAT,11,Car,0,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.5333333333333333
TSFEAT,11,Car,1,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.5666666666666667
TSFEAT,11,Car,2,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.2
TSFEAT,11,Car,3,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.5666666666666667
TSFEAT,11,Car,4,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.5666666666666667
TSFEAT,12,Chinatown,0,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.9212827988338192
TSFEAT,12,Chinatown,1,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.8717201166180758
TSFEAT,12,Chinatown,2,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.924198250728863
TSFEAT,12,Chinatown,3,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.8950437317784257
TSFEAT,12,Chinatown,4,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.9475218658892128
TSFEAT,13,ChlorineConcentration,0,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.5609375
TSFEAT,13,ChlorineConcentration,1,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.5552083333333333
TSFEAT,13,ChlorineConcentration,2,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.5622395833333333
TSFEAT,13,ChlorineConcentration,3,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.5580729166666667
TSFEAT,13,ChlorineConcentration,4,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.5578125
TSFEAT,15,Coffee,0,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.9642857142857143
TSFEAT,15,Coffee,1,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.8928571428571429
TSFEAT,15,Coffee,2,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.8571428571428571
TSFEAT,15,Coffee,3,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.5357142857142857
TSFEAT,15,Coffee,4,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.9285714285714286
TSFEAT,17,CricketX,0,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.4230769230769231
TSFEAT,17,CricketX,1,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.4794871794871795
TSFEAT,17,CricketX,2,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.5333333333333333
TSFEAT,17,CricketX,3,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.47692307692307695
TSFEAT,17,CricketX,4,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.4948717948717949
TSFEAT,18,CricketY,0,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.41794871794871796
TSFEAT,18,CricketY,1,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.3974358974358974
TSFEAT,18,CricketY,2,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.4282051282051282
TSFEAT,18,CricketY,3,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.3871794871794872
TSFEAT,18,CricketY,4,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.4461538461538462
TSFEAT,19,CricketZ,0,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.4717948717948718
TSFEAT,19,CricketZ,1,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.27692307692307694
TSFEAT,19,CricketZ,2,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.5076923076923077
TSFEAT,19,CricketZ,3,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.46153846153846156
TSFEAT,19,CricketZ,4,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.5102564102564102
TSFEAT,20,Crop,0,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.49964285714285717
TSFEAT,20,Crop,1,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.49660714285714286
TSFEAT,20,Crop,2,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.48964285714285716
