method,number,name,fold,symbolCount,numOfAttentionLayers,header,dmodel,dff,ncoef,strategy,architecture,dropout,num_resblocks,num_channels,use_1x1conv,lr,Test Accuracy
TSFEAT_SYM,1,Adiac,0,6,3.0,4.0,128.0,64.0,,quantile,transformer,0.0,,,,,0.639386189258312
TSFEAT_SYM,1,Adiac,1,6,3.0,4.0,128.0,64.0,,quantile,transformer,0.0,,,,,0.6649616368286445
TSFEAT_SYM,1,Adiac,2,6,3.0,4.0,128.0,64.0,,quantile,transformer,0.0,,,,,0.6521739130434783
TSFEAT_SYM,1,Adiac,3,6,3.0,4.0,128.0,64.0,,quantile,transformer,0.0,,,,,0.6470588235294118
TSFEAT_SYM,1,Adiac,4,6,3.0,4.0,128.0,64.0,,quantile,transformer,0.0,,,,,0.6470588235294118
TSFEAT_SYM,6,BME,0,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.9133333333333333
TSFEAT_SYM,6,BME,1,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.88
TSFEAT_SYM,6,BME,2,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.9133333333333333
TSFEAT_SYM,6,BME,3,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.9
TSFEAT_SYM,6,BME,4,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.8333333333333334
TSFEAT_SYM,7,Beef,0,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.6
TSFEAT_SYM,7,Beef,1,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.1
TSFEAT_SYM,7,Beef,2,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.7
TSFEAT_SYM,7,Beef,3,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.4666666666666667
TSFEAT_SYM,7,Beef,4,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.26666666666666666
TSFEAT_SYM,9,BirdChicken,0,5,3.0,4.0,32.0,16.0,,uniform,transformer,0.0,,,,,0.8
TSFEAT_SYM,9,BirdChicken,1,5,3.0,4.0,32.0,16.0,,uniform,transformer,0.0,,,,,0.9
TSFEAT_SYM,9,BirdChicken,2,5,3.0,4.0,32.0,16.0,,uniform,transformer,0.0,,,,,0.9
TSFEAT_SYM,9,BirdChicken,3,5,3.0,4.0,32.0,16.0,,uniform,transformer,0.0,,,,,0.95
TSFEAT_SYM,9,BirdChicken,4,5,3.0,4.0,32.0,16.0,,uniform,transformer,0.0,,,,,1.0
TSFEAT_SYM,10,CBF,0,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.68
TSFEAT_SYM,10,CBF,1,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.8222222222222222
TSFEAT_SYM,10,CBF,2,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.6922222222222222
TSFEAT_SYM,10,CBF,3,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.7177777777777777
TSFEAT_SYM,10,CBF,4,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.7433333333333333
TSFEAT_SYM,11,Car,0,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.5833333333333334
TSFEAT_SYM,11,Car,1,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.7333333333333333
TSFEAT_SYM,11,Car,2,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.5833333333333334
TSFEAT_SYM,11,Car,3,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.7166666666666667
TSFEAT_SYM,11,Car,4,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.7
TSFEAT_SYM,12,Chinatown,0,5,,,,,,uniform,resnet,,3.0,16.0,True,True,0.9416909620991254
