method,number,name,fold,symbolCount,numOfAttentionLayers,header,dmodel,dff,ncoef,strategy,architecture,dropout,num_resblocks,num_channels,use_1x1conv,lr,Test Accuracy
TSFEL,1,Adiac,0,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.015345268542199489
TSFEL,1,Adiac,1,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.058823529411764705
TSFEL,1,Adiac,2,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.03836317135549872
TSFEL,1,Adiac,3,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.12276214833759591
TSFEL,1,Adiac,4,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.11253196930946291
TSFEL,6,BME,0,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,0.6533333333333333
TSFEL,6,BME,1,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,0.7266666666666667
TSFEL,6,BME,2,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,0.5933333333333334
TSFEL,6,BME,3,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,0.5133333333333333
TSFEL,6,BME,4,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,0.6133333333333333
TSFEL,7,Beef,0,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.2
TSFEL,7,Beef,1,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.2
TSFEL,7,Beef,2,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.2
TSFEL,7,Beef,3,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.2
TSFEL,7,Beef,4,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.2
TSFEL,9,BirdChicken,0,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.5
TSFEL,9,BirdChicken,1,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.5
TSFEL,9,BirdChicken,2,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.5
TSFEL,9,BirdChicken,3,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.5
TSFEL,9,BirdChicken,4,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.5
TSFEL,10,CBF,0,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.6733333333333333
TSFEL,10,CBF,1,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.6688888888888889
TSFEL,10,CBF,2,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.6122222222222222
TSFEL,10,CBF,3,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.5622222222222222
TSFEL,10,CBF,4,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.73
TSFEL,11,Car,0,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.23333333333333334
TSFEL,11,Car,1,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.21666666666666667
TSFEL,11,Car,2,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.23333333333333334
TSFEL,11,Car,3,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.23333333333333334
TSFEL,11,Car,4,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.31666666666666665
TSFEL,12,Chinatown,0,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.7813411078717201
TSFEL,12,Chinatown,1,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.8163265306122449
TSFEL,12,Chinatown,2,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.7988338192419825
TSFEL,12,Chinatown,3,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.8221574344023324
TSFEL,12,Chinatown,4,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.9212827988338192
TSFEL,13,ChlorineConcentration,0,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.22916666666666666
TSFEL,13,ChlorineConcentration,1,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.5330729166666667
TSFEL,13,ChlorineConcentration,2,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.5325520833333334
TSFEL,13,ChlorineConcentration,3,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.2677083333333333
TSFEL,13,ChlorineConcentration,4,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.5346354166666667
TSFEL,15,Coffee,0,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.7857142857142857
TSFEL,15,Coffee,1,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.75
TSFEL,15,Coffee,2,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.75
TSFEL,15,Coffee,3,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.75
TSFEL,15,Coffee,4,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.75
TSFEL,17,CricketX,0,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.06923076923076923
TSFEL,17,CricketX,1,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.09487179487179487
TSFEL,17,CricketX,2,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.08461538461538462
TSFEL,17,CricketX,3,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.10256410256410256
TSFEL,17,CricketX,4,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.08461538461538462
TSFEL,18,CricketY,0,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.09487179487179487
TSFEL,18,CricketY,1,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.08461538461538462
TSFEL,18,CricketY,2,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.07948717948717948
TSFEL,18,CricketY,3,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.08717948717948718
TSFEL,18,CricketY,4,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.07948717948717948
TSFEL,19,CricketZ,0,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.08717948717948718
TSFEL,19,CricketZ,1,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.09743589743589744
TSFEL,19,CricketZ,2,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.08461538461538462
TSFEL,19,CricketZ,3,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.06153846153846154
TSFEL,19,CricketZ,4,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.09230769230769231
TSFEL,20,Crop,0,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.6109523809523809
TSFEL,20,Crop,1,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.6153571428571428
TSFEL,20,Crop,2,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.6094642857142857
TSFEL,20,Crop,3,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.5946428571428571
TSFEL,20,Crop,4,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.6070833333333333
TSFEL,22,DistalPhalanxOutlineAgeGroup,0,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,0.6762589928057554
TSFEL,22,DistalPhalanxOutlineAgeGroup,1,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,0.7338129496402878
TSFEL,22,DistalPhalanxOutlineAgeGroup,2,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,0.6762589928057554
TSFEL,22,DistalPhalanxOutlineAgeGroup,3,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,0.6690647482014388
TSFEL,22,DistalPhalanxOutlineAgeGroup,4,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,0.697841726618705
TSFEL,23,DistalPhalanxOutlineCorrect,0,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.5833333333333334
TSFEL,23,DistalPhalanxOutlineCorrect,1,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.4166666666666667
TSFEL,23,DistalPhalanxOutlineCorrect,2,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.5833333333333334
TSFEL,23,DistalPhalanxOutlineCorrect,3,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.5833333333333334
TSFEL,23,DistalPhalanxOutlineCorrect,4,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.7572463768115942
TSFEL,24,DistalPhalanxTW,0,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.09352517985611511
TSFEL,24,DistalPhalanxTW,1,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.6258992805755396
TSFEL,24,DistalPhalanxTW,2,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.2805755395683453
TSFEL,24,DistalPhalanxTW,3,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.4892086330935252
TSFEL,24,DistalPhalanxTW,4,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.4316546762589928
TSFEL,28,ECG200,0,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,0.83
TSFEL,28,ECG200,1,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,0.83
TSFEL,28,ECG200,2,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,0.84
TSFEL,28,ECG200,3,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,0.84
TSFEL,28,ECG200,4,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,0.86
TSFEL,29,ECG5000,0,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.9091111111111111
TSFEL,29,ECG5000,1,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.9273333333333333
TSFEL,29,ECG5000,2,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.9244444444444444
TSFEL,29,ECG5000,3,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.9175555555555556
TSFEL,29,ECG5000,4,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.9142222222222223
TSFEL,36,FaceAll,0,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.13846153846153847
TSFEL,36,FaceAll,1,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.17455621301775148
TSFEL,36,FaceAll,2,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.06449704142011835
TSFEL,36,FaceAll,3,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.1970414201183432
TSFEL,36,FaceAll,4,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.13254437869822486
TSFEL,38,FacesUCR,0,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.6146341463414634
TSFEL,38,FacesUCR,1,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.72
TSFEL,38,FacesUCR,2,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.5902439024390244
TSFEL,38,FacesUCR,3,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.5658536585365853
TSFEL,38,FacesUCR,4,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.5751219512195122
TSFEL,39,FiftyWords,0,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.42417582417582417
TSFEL,39,FiftyWords,1,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.42857142857142855
TSFEL,39,FiftyWords,2,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.2835164835164835
TSFEL,39,FiftyWords,3,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.3252747252747253
TSFEL,39,FiftyWords,4,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.3362637362637363
TSFEL,40,Fish,0,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.12571428571428572
TSFEL,40,Fish,1,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.1657142857142857
TSFEL,40,Fish,2,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.14285714285714285
TSFEL,40,Fish,3,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.1657142857142857
TSFEL,40,Fish,4,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.1657142857142857
TSFEL,41,FordA,0,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.5159090909090909
TSFEL,41,FordA,1,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.48409090909090907
TSFEL,41,FordA,2,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.5159090909090909
TSFEL,41,FordA,3,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.5159090909090909
TSFEL,41,FordA,4,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.5159090909090909
TSFEL,42,FordB,0,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.5049382716049383
TSFEL,42,FordB,1,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.49506172839506174
TSFEL,42,FordB,2,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.49506172839506174
TSFEL,42,FordB,3,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.49506172839506174
TSFEL,42,FordB,4,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.5049382716049383
TSFEL,43,FreezerRegularTrain,0,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.5
TSFEL,43,FreezerRegularTrain,1,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.5
TSFEL,43,FreezerRegularTrain,2,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.5
TSFEL,43,FreezerRegularTrain,3,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.5
TSFEL,43,FreezerRegularTrain,4,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.5
TSFEL,51,GunPoint,0,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.88
TSFEL,51,GunPoint,1,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.49333333333333335
TSFEL,51,GunPoint,2,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.5066666666666667
TSFEL,51,GunPoint,3,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.49333333333333335
TSFEL,51,GunPoint,4,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.49333333333333335
TSFEL,52,GunPointAgeSpan,0,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.8227848101265823
TSFEL,52,GunPointAgeSpan,1,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.4936708860759494
TSFEL,52,GunPointAgeSpan,2,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.5063291139240507
TSFEL,52,GunPointAgeSpan,3,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.5063291139240507
TSFEL,52,GunPointAgeSpan,4,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.7658227848101266
TSFEL,53,GunPointMaleVersusFemale,0,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.5253164556962026
TSFEL,53,GunPointMaleVersusFemale,1,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.47468354430379744
TSFEL,53,GunPointMaleVersusFemale,2,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.5253164556962026
TSFEL,53,GunPointMaleVersusFemale,3,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.5253164556962026
TSFEL,53,GunPointMaleVersusFemale,4,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.9430379746835443
TSFEL,54,GunPointOldVersusYoung,0,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.28888888888888886
TSFEL,54,GunPointOldVersusYoung,1,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.5238095238095238
TSFEL,54,GunPointOldVersusYoung,2,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.47619047619047616
TSFEL,54,GunPointOldVersusYoung,3,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.47619047619047616
TSFEL,54,GunPointOldVersusYoung,4,0,,,,,,uniform,resnet,,3.0,16.0,True,True,1.0
TSFEL,61,InsectEPGRegularTrain,0,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,1.0
TSFEL,61,InsectEPGRegularTrain,1,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,1.0
TSFEL,61,InsectEPGRegularTrain,2,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,1.0
TSFEL,61,InsectEPGRegularTrain,3,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,1.0
TSFEL,61,InsectEPGRegularTrain,4,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,1.0
TSFEL,63,InsectWingbeatSound,0,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.2878787878787879
TSFEL,63,InsectWingbeatSound,1,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.3303030303030303
TSFEL,63,InsectWingbeatSound,2,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.24797979797979797
TSFEL,63,InsectWingbeatSound,3,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.2919191919191919
TSFEL,63,InsectWingbeatSound,4,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.302020202020202
TSFEL,64,ItalyPowerDemand,0,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.8163265306122449
TSFEL,64,ItalyPowerDemand,1,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.8085519922254616
TSFEL,64,ItalyPowerDemand,2,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.7677356656948494
TSFEL,64,ItalyPowerDemand,3,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.858114674441205
TSFEL,64,ItalyPowerDemand,4,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.7900874635568513
TSFEL,67,Lightning7,0,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.136986301369863
TSFEL,67,Lightning7,1,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.1643835616438356
TSFEL,67,Lightning7,2,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.1643835616438356
TSFEL,67,Lightning7,3,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.136986301369863
TSFEL,67,Lightning7,4,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.2602739726027397
TSFEL,69,Meat,0,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.3333333333333333
TSFEL,69,Meat,1,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.3333333333333333
TSFEL,69,Meat,2,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.3333333333333333
TSFEL,69,Meat,3,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.3333333333333333
TSFEL,69,Meat,4,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.3333333333333333
TSFEL,70,MedicalImages,0,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.525
TSFEL,70,MedicalImages,1,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.5802631578947368
TSFEL,70,MedicalImages,2,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.5578947368421052
