method,number,name,fold,symbolCount,numOfAttentionLayers,header,dmodel,dff,ncoef,strategy,architecture,dropout,num_resblocks,num_channels,use_1x1conv,lr,Test Accuracy
TSFRESH,1,Adiac,0,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.3273657289002558
TSFRESH,1,Adiac,1,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.3350383631713555
TSFRESH,1,Adiac,2,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.3631713554987212
TSFRESH,1,Adiac,3,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.289002557544757
TSFRESH,1,Adiac,4,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.27877237851662406
TSFRESH,6,BME,0,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.5933333333333334
TSFRESH,6,BME,1,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.6266666666666667
TSFRESH,6,BME,2,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.6333333333333333
TSFRESH,6,BME,3,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.6266666666666667
TSFRESH,6,BME,4,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.6333333333333333
TSFRESH,7,Beef,0,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.2
TSFRESH,7,Beef,1,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.2
TSFRESH,7,Beef,2,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.2
TSFRESH,7,Beef,3,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.16666666666666666
TSFRESH,7,Beef,4,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.2
TSFRESH,9,BirdChicken,0,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.65
TSFRESH,9,BirdChicken,1,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.75
TSFRESH,9,BirdChicken,2,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.85
TSFRESH,9,BirdChicken,3,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.8
TSFRESH,9,BirdChicken,4,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.5
TSFRESH,10,CBF,0,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.34444444444444444
TSFRESH,10,CBF,1,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.33555555555555555
TSFRESH,10,CBF,2,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.3655555555555556
TSFRESH,10,CBF,3,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.3188888888888889
TSFRESH,10,CBF,4,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.3333333333333333
TSFRESH,11,Car,0,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,0.3
TSFRESH,11,Car,1,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,0.36666666666666664
