method,number,name,fold,symbolCount,numOfAttentionLayers,header,dmodel,dff,ncoef,strategy,architecture,dropout,num_resblocks,num_channels,use_1x1conv,lr,Test Accuracy
TSFRESH_SEL,1,Adiac,0,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,0.5882352941176471
TSFRESH_SEL,1,Adiac,1,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,0.5140664961636828
TSFRESH_SEL,1,Adiac,2,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,0.5652173913043478
TSFRESH_SEL,1,Adiac,3,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,0.6061381074168798
TSFRESH_SEL,1,Adiac,4,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,0.6010230179028133
TSFRESH_SEL,6,BME,0,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.7933333333333333
TSFRESH_SEL,6,BME,1,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.8333333333333334
TSFRESH_SEL,6,BME,2,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.9
TSFRESH_SEL,6,BME,3,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.7733333333333333
TSFRESH_SEL,6,BME,4,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.8333333333333334
TSFRESH_SEL,7,Beef,0,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.2
TSFRESH_SEL,7,Beef,1,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.36666666666666664
TSFRESH_SEL,7,Beef,2,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.5
TSFRESH_SEL,7,Beef,3,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.3333333333333333
TSFRESH_SEL,7,Beef,4,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.3
TSFRESH_SEL,9,BirdChicken,0,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.85
TSFRESH_SEL,9,BirdChicken,1,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.75
TSFRESH_SEL,9,BirdChicken,2,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.9
TSFRESH_SEL,9,BirdChicken,3,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.85
TSFRESH_SEL,9,BirdChicken,4,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.6
TSFRESH_SEL,10,CBF,0,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,0.99
TSFRESH_SEL,10,CBF,1,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,0.88
