method,number,name,fold,symbolCount,numOfAttentionLayers,header,dmodel,dff,ncoef,strategy,architecture,dropout,num_resblocks,num_channels,use_1x1conv,lr,Test Accuracy
TSFRESH_SEL_SYM,1,Adiac,0,6,3.0,4.0,32.0,16.0,,quantile,transformer,0.0,,,,,0.7647058823529411
TSFRESH_SEL_SYM,1,Adiac,1,6,3.0,4.0,32.0,16.0,,quantile,transformer,0.0,,,,,0.7493606138107417
TSFRESH_SEL_SYM,1,Adiac,2,6,3.0,4.0,32.0,16.0,,quantile,transformer,0.0,,,,,0.7595907928388747
TSFRESH_SEL_SYM,1,Adiac,3,6,3.0,4.0,32.0,16.0,,quantile,transformer,0.0,,,,,0.7595907928388747
TSFRESH_SEL_SYM,1,Adiac,4,6,3.0,4.0,32.0,16.0,,quantile,transformer,0.0,,,,,0.7800511508951407
TSFRESH_SEL_SYM,6,BME,0,5,,,,,,quantile,resnet,,3.0,16.0,True,True,1.0
TSFRESH_SEL_SYM,6,BME,1,5,,,,,,quantile,resnet,,3.0,16.0,True,True,1.0
TSFRESH_SEL_SYM,6,BME,2,5,,,,,,quantile,resnet,,3.0,16.0,True,True,1.0
TSFRESH_SEL_SYM,6,BME,3,5,,,,,,quantile,resnet,,3.0,16.0,True,True,1.0
TSFRESH_SEL_SYM,6,BME,4,5,,,,,,quantile,resnet,,3.0,16.0,True,True,1.0
TSFRESH_SEL_SYM,7,Beef,0,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.7333333333333333
TSFRESH_SEL_SYM,7,Beef,1,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.6666666666666666
TSFRESH_SEL_SYM,7,Beef,2,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.7666666666666667
TSFRESH_SEL_SYM,7,Beef,3,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.8
TSFRESH_SEL_SYM,7,Beef,4,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.8333333333333334
TSFRESH_SEL_SYM,9,BirdChicken,0,5,,,,,,quantile,resnet,,3.0,16.0,True,True,0.95
TSFRESH_SEL_SYM,9,BirdChicken,1,5,,,,,,quantile,resnet,,3.0,16.0,True,True,0.95
TSFRESH_SEL_SYM,9,BirdChicken,2,5,,,,,,quantile,resnet,,3.0,16.0,True,True,1.0
TSFRESH_SEL_SYM,9,BirdChicken,3,5,,,,,,quantile,resnet,,3.0,16.0,True,True,0.95
TSFRESH_SEL_SYM,9,BirdChicken,4,5,,,,,,quantile,resnet,,3.0,16.0,True,True,1.0
TSFRESH_SEL_SYM,10,CBF,0,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.9855555555555555
TSFRESH_SEL_SYM,10,CBF,1,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.9966666666666667
TSFRESH_SEL_SYM,10,CBF,2,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.9922222222222222
TSFRESH_SEL_SYM,10,CBF,3,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.9933333333333333
TSFRESH_SEL_SYM,10,CBF,4,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.9988888888888889
TSFRESH_SEL_SYM,11,Car,0,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.8
TSFRESH_SEL_SYM,11,Car,1,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.9166666666666666
TSFRESH_SEL_SYM,11,Car,2,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.7666666666666667
TSFRESH_SEL_SYM,11,Car,3,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.8666666666666667
TSFRESH_SEL_SYM,11,Car,4,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.85
TSFRESH_SEL_SYM,12,Chinatown,0,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.9795918367346939
TSFRESH_SEL_SYM,12,Chinatown,1,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.9766763848396501
TSFRESH_SEL_SYM,12,Chinatown,2,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.9854227405247813
TSFRESH_SEL_SYM,12,Chinatown,3,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.9766763848396501
TSFRESH_SEL_SYM,12,Chinatown,4,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.9795918367346939
TSFRESH_SEL_SYM,13,ChlorineConcentration,0,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.5684895833333333
TSFRESH_SEL_SYM,13,ChlorineConcentration,1,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.5684895833333333
TSFRESH_SEL_SYM,13,ChlorineConcentration,2,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.5684895833333333
TSFRESH_SEL_SYM,13,ChlorineConcentration,3,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.53359375
TSFRESH_SEL_SYM,13,ChlorineConcentration,4,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.5677083333333334
TSFRESH_SEL_SYM,15,Coffee,0,5,,,,,,uniform,resnet,,3.0,16.0,True,True,1.0
TSFRESH_SEL_SYM,15,Coffee,1,5,,,,,,uniform,resnet,,3.0,16.0,True,True,1.0
TSFRESH_SEL_SYM,15,Coffee,2,5,,,,,,uniform,resnet,,3.0,16.0,True,True,1.0
TSFRESH_SEL_SYM,15,Coffee,3,5,,,,,,uniform,resnet,,3.0,16.0,True,True,1.0
TSFRESH_SEL_SYM,15,Coffee,4,5,,,,,,uniform,resnet,,3.0,16.0,True,True,1.0
TSFRESH_SEL_SYM,17,CricketX,0,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.676923076923077
TSFRESH_SEL_SYM,17,CricketX,1,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.6948717948717948
TSFRESH_SEL_SYM,17,CricketX,2,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.6692307692307692
TSFRESH_SEL_SYM,17,CricketX,3,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.6794871794871795
TSFRESH_SEL_SYM,17,CricketX,4,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.6666666666666666
TSFRESH_SEL_SYM,18,CricketY,0,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.6794871794871795
TSFRESH_SEL_SYM,18,CricketY,1,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.6615384615384615
TSFRESH_SEL_SYM,18,CricketY,2,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.6717948717948717
TSFRESH_SEL_SYM,18,CricketY,3,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.6641025641025641
TSFRESH_SEL_SYM,18,CricketY,4,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.7
TSFRESH_SEL_SYM,19,CricketZ,0,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.676923076923077
TSFRESH_SEL_SYM,19,CricketZ,1,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.6666666666666666
TSFRESH_SEL_SYM,19,CricketZ,2,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.6974358974358974
TSFRESH_SEL_SYM,19,CricketZ,3,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.7153846153846154
TSFRESH_SEL_SYM,19,CricketZ,4,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.6794871794871795
TSFRESH_SEL_SYM,20,Crop,0,5,,,,,,quantile,resnet,,3.0,16.0,True,True,0.7160714285714286
TSFRESH_SEL_SYM,20,Crop,1,5,,,,,,quantile,resnet,,3.0,16.0,True,True,0.7105952380952381
TSFRESH_SEL_SYM,20,Crop,2,5,,,,,,quantile,resnet,,3.0,16.0,True,True,0.71125
TSFRESH_SEL_SYM,20,Crop,3,5,,,,,,quantile,resnet,,3.0,16.0,True,True,0.7151785714285714
TSFRESH_SEL_SYM,20,Crop,4,5,,,,,,quantile,resnet,,3.0,16.0,True,True,0.7107738095238095
TSFRESH_SEL_SYM,22,DistalPhalanxOutlineAgeGroup,0,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.7410071942446043
TSFRESH_SEL_SYM,22,DistalPhalanxOutlineAgeGroup,1,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.7482014388489209
TSFRESH_SEL_SYM,22,DistalPhalanxOutlineAgeGroup,2,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.7482014388489209
TSFRESH_SEL_SYM,22,DistalPhalanxOutlineAgeGroup,3,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.7482014388489209
TSFRESH_SEL_SYM,22,DistalPhalanxOutlineAgeGroup,4,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.7913669064748201
TSFRESH_SEL_SYM,23,DistalPhalanxOutlineCorrect,0,6,3.0,4.0,32.0,16.0,,uniform,transformer,0.0,,,,,0.7898550724637681
TSFRESH_SEL_SYM,23,DistalPhalanxOutlineCorrect,1,6,3.0,4.0,32.0,16.0,,uniform,transformer,0.0,,,,,0.7536231884057971
TSFRESH_SEL_SYM,23,DistalPhalanxOutlineCorrect,2,6,3.0,4.0,32.0,16.0,,uniform,transformer,0.0,,,,,0.7644927536231884
TSFRESH_SEL_SYM,23,DistalPhalanxOutlineCorrect,3,6,3.0,4.0,32.0,16.0,,uniform,transformer,0.0,,,,,0.7536231884057971
TSFRESH_SEL_SYM,23,DistalPhalanxOutlineCorrect,4,6,3.0,4.0,32.0,16.0,,uniform,transformer,0.0,,,,,0.7608695652173914
TSFRESH_SEL_SYM,24,DistalPhalanxTW,0,6,3.0,4.0,32.0,16.0,,uniform,transformer,0.0,,,,,0.6906474820143885
TSFRESH_SEL_SYM,24,DistalPhalanxTW,1,6,3.0,4.0,32.0,16.0,,uniform,transformer,0.0,,,,,0.697841726618705
