method,number,name,fold,symbolCount,numOfAttentionLayers,header,dmodel,dff,ncoef,strategy,architecture,dropout,num_resblocks,num_channels,use_1x1conv,lr,Test Accuracy
TSFRESH_SYM,1,Adiac,0,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.7340153452685422
TSFRESH_SYM,1,Adiac,1,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.7161125319693095
TSFRESH_SYM,1,Adiac,2,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.6982097186700768
TSFRESH_SYM,1,Adiac,3,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.7237851662404092
TSFRESH_SYM,1,Adiac,4,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.7007672634271099
TSFRESH_SYM,6,BME,0,5,3.0,4.0,128.0,64.0,,quantile,transformer,0.0,,,,,0.9933333333333333
TSFRESH_SYM,6,BME,1,5,3.0,4.0,128.0,64.0,,quantile,transformer,0.0,,,,,0.9933333333333333
TSFRESH_SYM,6,BME,2,5,3.0,4.0,128.0,64.0,,quantile,transformer,0.0,,,,,1.0
TSFRESH_SYM,6,BME,3,5,3.0,4.0,128.0,64.0,,quantile,transformer,0.0,,,,,0.9933333333333333
TSFRESH_SYM,6,BME,4,5,3.0,4.0,128.0,64.0,,quantile,transformer,0.0,,,,,0.9866666666666667
TSFRESH_SYM,7,Beef,0,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.9
TSFRESH_SYM,7,Beef,1,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.7666666666666667
TSFRESH_SYM,7,Beef,2,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.7666666666666667
TSFRESH_SYM,7,Beef,3,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.7666666666666667
TSFRESH_SYM,7,Beef,4,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.8
TSFRESH_SYM,9,BirdChicken,0,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.95
TSFRESH_SYM,9,BirdChicken,1,6,,,,,,quantile,resnet,,3.0,64.0,True,True,1.0
TSFRESH_SYM,9,BirdChicken,2,6,,,,,,quantile,resnet,,3.0,64.0,True,True,1.0
TSFRESH_SYM,9,BirdChicken,3,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.9
TSFRESH_SYM,9,BirdChicken,4,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.95
TSFRESH_SYM,10,CBF,0,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.9888888888888889
TSFRESH_SYM,10,CBF,1,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.9944444444444445
TSFRESH_SYM,10,CBF,2,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.9922222222222222
TSFRESH_SYM,10,CBF,3,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.9933333333333333
TSFRESH_SYM,10,CBF,4,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.9977777777777778
TSFRESH_SYM,11,Car,0,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.7166666666666667
TSFRESH_SYM,11,Car,1,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.7666666666666667
TSFRESH_SYM,11,Car,2,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.7666666666666667
TSFRESH_SYM,11,Car,3,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.8166666666666667
TSFRESH_SYM,11,Car,4,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.8
TSFRESH_SYM,12,Chinatown,0,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.9795918367346939
TSFRESH_SYM,12,Chinatown,1,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.9854227405247813
TSFRESH_SYM,12,Chinatown,2,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.9795918367346939
TSFRESH_SYM,12,Chinatown,3,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.9766763848396501
TSFRESH_SYM,12,Chinatown,4,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.9825072886297376
TSFRESH_SYM,13,ChlorineConcentration,0,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.6700520833333333
TSFRESH_SYM,13,ChlorineConcentration,1,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.6575520833333334
TSFRESH_SYM,13,ChlorineConcentration,2,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.6674479166666667
TSFRESH_SYM,13,ChlorineConcentration,3,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.6528645833333333
TSFRESH_SYM,13,ChlorineConcentration,4,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.6484375
TSFRESH_SYM,15,Coffee,0,5,,,,,,uniform,resnet,,3.0,16.0,True,True,1.0
TSFRESH_SYM,15,Coffee,1,5,,,,,,uniform,resnet,,3.0,16.0,True,True,1.0
TSFRESH_SYM,15,Coffee,2,5,,,,,,uniform,resnet,,3.0,16.0,True,True,1.0
TSFRESH_SYM,15,Coffee,3,5,,,,,,uniform,resnet,,3.0,16.0,True,True,1.0
TSFRESH_SYM,15,Coffee,4,5,,,,,,uniform,resnet,,3.0,16.0,True,True,1.0
TSFRESH_SYM,17,CricketX,0,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.6333333333333333
TSFRESH_SYM,17,CricketX,1,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.6282051282051282
TSFRESH_SYM,17,CricketX,2,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.6025641025641025
TSFRESH_SYM,17,CricketX,3,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.6538461538461539
TSFRESH_SYM,17,CricketX,4,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.6282051282051282
TSFRESH_SYM,18,CricketY,0,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.6333333333333333
TSFRESH_SYM,18,CricketY,1,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.6102564102564103
TSFRESH_SYM,18,CricketY,2,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.5948717948717949
TSFRESH_SYM,18,CricketY,3,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.5871794871794872
TSFRESH_SYM,18,CricketY,4,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.617948717948718
TSFRESH_SYM,19,CricketZ,0,5,,,,,,uniform,resnet,,3.0,16.0,True,True,0.6205128205128205
TSFRESH_SYM,19,CricketZ,1,5,,,,,,uniform,resnet,,3.0,16.0,True,True,0.5871794871794872
TSFRESH_SYM,19,CricketZ,2,5,,,,,,uniform,resnet,,3.0,16.0,True,True,0.6487179487179487
TSFRESH_SYM,19,CricketZ,3,5,,,,,,uniform,resnet,,3.0,16.0,True,True,0.6358974358974359
TSFRESH_SYM,19,CricketZ,4,5,,,,,,uniform,resnet,,3.0,16.0,True,True,0.6358974358974359
TSFRESH_SYM,20,Crop,0,5,,,,,,quantile,resnet,,3.0,16.0,True,True,0.7122619047619048
TSFRESH_SYM,20,Crop,1,5,,,,,,quantile,resnet,,3.0,16.0,True,True,0.71375
TSFRESH_SYM,20,Crop,2,5,,,,,,quantile,resnet,,3.0,16.0,True,True,0.710297619047619
TSFRESH_SYM,20,Crop,3,5,,,,,,quantile,resnet,,3.0,16.0,True,True,0.7169642857142857
TSFRESH_SYM,20,Crop,4,5,,,,,,quantile,resnet,,3.0,16.0,True,True,0.7116071428571429
TSFRESH_SYM,22,DistalPhalanxOutlineAgeGroup,0,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.762589928057554
TSFRESH_SYM,22,DistalPhalanxOutlineAgeGroup,1,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.762589928057554
TSFRESH_SYM,22,DistalPhalanxOutlineAgeGroup,2,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.7338129496402878
TSFRESH_SYM,22,DistalPhalanxOutlineAgeGroup,3,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.7194244604316546
TSFRESH_SYM,22,DistalPhalanxOutlineAgeGroup,4,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.7697841726618705
TSFRESH_SYM,23,DistalPhalanxOutlineCorrect,0,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.8115942028985508
TSFRESH_SYM,23,DistalPhalanxOutlineCorrect,1,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.7862318840579711
TSFRESH_SYM,23,DistalPhalanxOutlineCorrect,2,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.8079710144927537
