number,name,method,fold,symbolCount,numOfAttentionLayers,header,dmodel,dff,ncoef,strategy,architecture,dropout,num_resblocks,num_channels,use_1x1conv,lr,Test Accuracy
1,Adiac,CATCH22,0,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.17391304347826086
1,Adiac,CATCH22,1,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.11764705882352941
1,Adiac,CATCH22,2,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.1918158567774936
1,Adiac,CATCH22,3,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.10741687979539642
1,Adiac,CATCH22,4,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.13810741687979539
1,Adiac,CATCH22,0,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.24040920716112532
1,Adiac,CATCH22,1,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.19948849104859334
1,Adiac,CATCH22,2,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.27621483375959077
1,Adiac,CATCH22,3,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.2557544757033248
1,Adiac,CATCH22,4,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.29411764705882354
1,Adiac,CATCH22_SYM,0,6,3.0,4.0,32.0,16.0,,uniform,transformer,0.0,,,,,0.4296675191815857
1,Adiac,CATCH22_SYM,1,6,3.0,4.0,32.0,16.0,,uniform,transformer,0.0,,,,,0.40664961636828645
1,Adiac,CATCH22_SYM,2,6,3.0,4.0,32.0,16.0,,uniform,transformer,0.0,,,,,0.41687979539641945
1,Adiac,CATCH22_SYM,3,6,3.0,4.0,32.0,16.0,,uniform,transformer,0.0,,,,,0.42710997442455245
1,Adiac,CATCH22_SYM,4,6,3.0,4.0,32.0,16.0,,uniform,transformer,0.0,,,,,0.4219948849104859
1,Adiac,CATCH22_SYM,0,6,3.0,4.0,128.0,64.0,,uniform,transformer,0.0,,,,,0.43478260869565216
1,Adiac,CATCH22_SYM,1,6,3.0,4.0,128.0,64.0,,uniform,transformer,0.0,,,,,0.4578005115089514
1,Adiac,CATCH22_SYM,2,6,3.0,4.0,128.0,64.0,,uniform,transformer,0.0,,,,,0.4092071611253197
1,Adiac,CATCH22_SYM,3,6,3.0,4.0,128.0,64.0,,uniform,transformer,0.0,,,,,0.4578005115089514
1,Adiac,CATCH22_SYM,4,6,3.0,4.0,128.0,64.0,,uniform,transformer,0.0,,,,,0.4398976982097187
1,Adiac,CATCH22_SYM,0,5,,,,,,uniform,resnet,,3.0,16.0,True,True,0.36061381074168797
1,Adiac,CATCH22_SYM,1,5,,,,,,uniform,resnet,,3.0,16.0,True,True,0.309462915601023
1,Adiac,CATCH22_SYM,2,5,,,,,,uniform,resnet,,3.0,16.0,True,True,0.3734015345268542
1,Adiac,CATCH22_SYM,3,5,,,,,,uniform,resnet,,3.0,16.0,True,True,0.34782608695652173
1,Adiac,CATCH22_SYM,4,5,,,,,,uniform,resnet,,3.0,16.0,True,True,0.3631713554987212
1,Adiac,CATCH22_SYM,0,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.35294117647058826
1,Adiac,CATCH22_SYM,1,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.319693094629156
1,Adiac,CATCH22_SYM,2,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.36061381074168797
1,Adiac,CATCH22_SYM,3,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.4040920716112532
1,Adiac,CATCH22_SYM,4,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.37851662404092073
1,Adiac,CATCH22_SYM,0,5,,,,,,quantile,resnet,,3.0,16.0,True,True,0.4629156010230179
1,Adiac,CATCH22_SYM,1,5,,,,,,quantile,resnet,,3.0,16.0,True,True,0.45524296675191817
1,Adiac,CATCH22_SYM,2,5,,,,,,quantile,resnet,,3.0,16.0,True,True,0.4782608695652174
